Pokedex Number,Pokemon Name,Classification,Alternate Form Name,Legendary Type,Pokemon Height,Pokemon Weight,Primary Type,Secondary Type,Primary Ability,Primary Ability Description,Secondary Ability,Secondary Ability Description,Hidden Ability,Hidden Ability Description,Game(s) of Origin,Health Stat,Attack Stat,Defense Stat,Special Attack Stat,Special Defense Stat,Speed Stat,Base Stat Total,Health EV,Attack EV,Defense EV,Special Attack EV,Special Defense EV,Speed EV,EV Yield Total,Experience Growth Total,Pre-Evolution Pokemon Id
152,Chikorita,Leaf Pokémon,,,0.9,6.4,Grass,,Overgrow,Powers up Grass-type moves when the Pokémon's HP is low.,,,Leaf Guard,Prevents status conditions in harsh sunlight.,Gold,45,49,65,49,65,45,318,0,0,0,0,1,0,1,1059860,
153,Bayleef,Leaf Pokémon,,,1.2,15.8,Grass,,Overgrow,Powers up Grass-type moves when the Pokémon's HP is low.,,,Leaf Guard,Prevents status conditions in harsh sunlight.,Gold,60,62,80,63,80,60,405,0,0,1,0,1,0,2,1059860,245.0
154,Meganium,Herb Pokémon,,,1.8,100.5,Grass,,Overgrow,Powers up Grass-type moves when the Pokémon's HP is low.,,,Leaf Guard,Prevents status conditions in harsh sunlight.,Gold,80,82,100,83,100,80,525,0,0,1,0,2,0,3,1059860,246.0
155,Cyndaquil,Fire Mouse Pokémon,,,0.5,7.9,Fire,,Blaze,Powers up Fire-type moves when the Pokémon's HP is low.,,,Flash Fire,Powers up the Pokémon's Fire-type moves if it's hit by one.,Gold,39,52,43,60,50,65,309,0,0,0,0,0,1,1,1059860,
156,Quilava,Volcano Pokémon,,,0.9,19.0,Fire,,Blaze,Powers up Fire-type moves when the Pokémon's HP is low.,,,Flash Fire,Powers up the Pokémon's Fire-type moves if it's hit by one.,Gold,58,64,58,80,65,80,405,0,0,0,1,0,1,2,1059860,248.0
157,Typhlosion,Volcano Pokémon,,,1.7,79.5,Fire,,Blaze,Powers up Fire-type moves when the Pokémon's HP is low.,,,Flash Fire,Powers up the Pokémon's Fire-type moves if it's hit by one.,Gold,78,84,78,109,85,100,534,0,0,0,3,0,0,3,1059860,249.0
157,Typhlosion,Ghost Flame Pokémon,Hisui,,1.6,69.8,Fire,Ghost,Blaze,Powers up Fire-type moves when the Pokémon's HP is low.,,,Frisk,"When it enters a battle, the Pokémon can check an opposing Pokémon's held item.",Legends Arceus,73,84,78,119,85,95,534,0,0,0,3,0,0,3,1059860,249.0
158,Totodile,Big Jaw Pokémon,,,0.6,9.5,Water,,Torrent,Powers up Water-type moves when the Pokémon's HP is low.,,,Sheer Force,Removes additional effects to increase the power of moves when attacking.,Gold,50,65,64,44,48,43,314,0,1,0,0,0,0,1,1059860,
159,Croconaw,Big Jaw Pokémon,,,1.1,25.0,Water,,Torrent,Powers up Water-type moves when the Pokémon's HP is low.,,,Sheer Force,Removes additional effects to increase the power of moves when attacking.,Gold,65,80,80,59,63,58,405,0,1,1,0,0,0,2,1059860,251.0
160,Feraligatr,Big Jaw Pokémon,,,2.3,88.8,Water,,Torrent,Powers up Water-type moves when the Pokémon's HP is low.,,,Sheer Force,Removes additional effects to increase the power of moves when attacking.,Gold,85,105,100,79,83,78,530,0,2,1,0,0,0,3,1059860,252.0
161,Sentret,Scout Pokémon,,,0.8,6.0,Normal,,Run Away,Enables a sure getaway from wild Pokémon.,Keen Eye,Keen eyes prevent other Pokémon from lowering this Pokémon's accuracy.,Frisk,"When it enters a battle, the Pokémon can check an opposing Pokémon's held item.",Gold,35,46,34,35,45,20,215,0,1,0,0,0,0,1,1000000,
162,Furret,Long Body Pokémon,,,1.8,32.5,Normal,,Run Away,Enables a sure getaway from wild Pokémon.,Keen Eye,Keen eyes prevent other Pokémon from lowering this Pokémon's accuracy.,Frisk,"When it enters a battle, the Pokémon can check an opposing Pokémon's held item.",Gold,85,76,64,45,55,90,415,0,0,0,0,0,2,2,1000000,254.0
163,Hoothoot,Owl Pokémon,,,0.7,21.2,Normal,Flying,Insomnia,The Pokémon is suffering from insomnia and cannot fall asleep.,Keen Eye,Keen eyes prevent other Pokémon from lowering this Pokémon's accuracy.,Tinted Lens,"The Pokémon can use not very effective"" moves to deal regular damage.""",Gold,60,30,30,36,56,50,262,1,0,0,0,0,0,1,1000000,
164,Noctowl,Owl Pokémon,,,1.6,40.8,Normal,Flying,Insomnia,The Pokémon is suffering from insomnia and cannot fall asleep.,Keen Eye,Keen eyes prevent other Pokémon from lowering this Pokémon's accuracy.,Tinted Lens,"The Pokémon can use not very effective"" moves to deal regular damage.""",Gold,100,50,50,86,96,70,452,2,0,0,0,0,0,2,1000000,256.0
165,Ledyba,Five Star Pokémon,,,1.0,10.8,Bug,Flying,Swarm,Powers up Bug-type moves when the Pokémon's HP is low.,Early Bird,The Pokémon awakens from sleep twice as fast as other Pokémon.,Rattled,"Dark-, Ghost-, and Bug-type moves scare the Pokémon and boost its Speed stat.",Gold,40,20,30,40,80,55,265,0,0,0,0,1,0,1,800000,
166,Ledian,Five Star Pokémon,,,1.4,35.6,Bug,Flying,Swarm,Powers up Bug-type moves when the Pokémon's HP is low.,Early Bird,The Pokémon awakens from sleep twice as fast as other Pokémon.,Iron Fist,Powers up punching moves.,Gold,55,35,50,55,110,85,390,0,0,0,0,2,0,2,800000,258.0
167,Spinarak,String Spit Pokémon,,,0.5,8.5,Bug,Poison,Swarm,Powers up Bug-type moves when the Pokémon's HP is low.,Insomnia,The Pokémon is suffering from insomnia and cannot fall asleep.,Sniper,Powers up moves if they become critical hits when attacking.,Gold,40,60,40,40,40,30,250,0,1,0,0,0,0,1,800000,
168,Ariados,Long Leg Pokémon,,,1.1,33.5,Bug,Poison,Swarm,Powers up Bug-type moves when the Pokémon's HP is low.,Insomnia,The Pokémon is suffering from insomnia and cannot fall asleep.,Sniper,Powers up moves if they become critical hits when attacking.,Gold,70,90,70,60,70,40,400,0,2,0,0,0,0,2,800000,260.0
169,Crobat,Bat Pokémon,,,1.8,75.0,Poison,Flying,Inner Focus,"The Pokémon's intensely focused, and that protects the Pokémon from flinching.",,,Infiltrator,"Passes through the opposing Pokémon's barrier, substitute, and the like and strikes.",Gold,85,90,80,70,80,130,535,0,0,0,0,0,3,3,1000000,62.0
170,Chinchou,Angler Pokémon,,,0.5,12.0,Water,Electric,Volt Absorb,Restores HP if hit by an Electric-type move instead of taking damage.,Illuminate,Raises the likelihood of meeting wild Pokémon by illuminating the surroundings.,Water Absorb,Restores HP if hit by a Water-type move instead of taking damage.,Gold,75,38,38,56,56,67,330,1,0,0,0,0,0,1,1250000,
171,Lanturn,Light Pokémon,,,1.2,22.5,Water,Electric,Volt Absorb,Restores HP if hit by an Electric-type move instead of taking damage.,Illuminate,Raises the likelihood of meeting wild Pokémon by illuminating the surroundings.,Water Absorb,Restores HP if hit by a Water-type move instead of taking damage.,Gold,125,58,58,76,76,67,460,2,0,0,0,0,0,2,1250000,262.0
172,Pichu,Tiny Mouse Pokémon,,,0.3,2.0,Electric,,Static,"The Pokémon is charged with static electricity, so contact with it may cause paralysis.",,,Lightning Rod,"The Pokémon draws in all Electric-type moves. Instead of being hit by Electric-type moves, it boosts its Sp. Atk.",Gold,20,40,15,35,35,60,205,0,0,0,0,0,1,1,1000000,
173,Cleffa,Star Shape Pokémon,,,0.3,3.0,Fairy,,Cute Charm,Contact with the Pokémon may cause infatuation.,Magic Bounce,Reflects status moves instead of getting hit by them.,Friend Guard,Reduces damage done to allies.,Gold,50,25,28,45,55,15,218,0,0,0,0,1,0,1,800000,
174,Igglybuff,Balloon Pokémon,,,0.3,1.0,Normal,Fairy,Cute Charm,Contact with the Pokémon may cause infatuation.,Competitive,Boosts the Sp. Atk stat sharply when a stat is lowered.,Friend Guard,Reduces damage done to allies.,Gold,90,30,15,40,20,15,210,1,0,0,0,0,0,1,800000,
175,Togepi,Spike Ball Pokémon,,,0.3,1.5,Fairy,,Hustle,"Boosts the Attack stat, but lowers accuracy.",Serene Grace,Boosts the likelihood of additional effects occurring when attacking.,Super Luck,The Pokémon is so lucky that the critical-hit ratios of its moves are boosted.,Gold,35,20,65,40,65,20,245,0,0,0,0,1,0,1,800000,
176,Togetic,Happiness Pokémon,,,0.6,3.2,Fairy,Flying,Hustle,"Boosts the Attack stat, but lowers accuracy.",Serene Grace,Boosts the likelihood of additional effects occurring when attacking.,Super Luck,The Pokémon is so lucky that the critical-hit ratios of its moves are boosted.,Gold,55,40,85,80,105,40,405,0,0,0,0,2,0,2,800000,264.0
177,Natu,Tiny Bird Pokémon,,,0.2,2.0,Psychic,Flying,Synchronize,"The attacker will receive the same status condition if it inflicts a burn, poison, or paralysis to the Pokémon.",Early Bird,The Pokémon awakens from sleep twice as fast as other Pokémon.,Magic Bounce,Reflects status moves instead of getting hit by them.,Gold,40,50,45,70,45,70,320,0,0,0,1,0,0,1,1000000,
178,Xatu,Mystic Pokémon,,,1.5,15.0,Psychic,Flying,Synchronize,"The attacker will receive the same status condition if it inflicts a burn, poison, or paralysis to the Pokémon.",Early Bird,The Pokémon awakens from sleep twice as fast as other Pokémon.,Magic Bounce,Reflects status moves instead of getting hit by them.,Gold,65,75,70,95,70,95,470,0,0,0,1,0,1,2,1000000,266.0
179,Mareep,Wool Pokémon,,,0.6,7.8,Electric,,Static,"The Pokémon is charged with static electricity, so contact with it may cause paralysis.",,,Plus,Boosts the Sp. Atk stat of the Pokémon if an ally with the Plus or Minus Ability is also in battle.,Gold,55,40,40,65,45,35,280,0,0,0,1,0,0,1,1059860,
180,Flaaffy,Wool Pokémon,,,0.8,13.3,Electric,,Static,"The Pokémon is charged with static electricity, so contact with it may cause paralysis.",,,Plus,Boosts the Sp. Atk stat of the Pokémon if an ally with the Plus or Minus Ability is also in battle.,Gold,70,55,55,80,60,45,365,0,0,0,2,0,0,2,1059860,278.0
181,Ampharos,Light Pokémon,,,1.4,61.5,Electric,,Static,"The Pokémon is charged with static electricity, so contact with it may cause paralysis.",,,Plus,Boosts the Sp. Atk stat of the Pokémon if an ally with the Plus or Minus Ability is also in battle.,Gold,90,75,85,115,90,55,510,0,0,0,3,0,0,3,1059860,279.0
181,Ampharos,Light Pokémon,Mega,,1.4,61.5,Electric,Dragon,Mold Breaker,Moves can be used on the target regardless of its Abilities.,,,,,X,90,95,105,165,110,45,610,0,0,0,3,0,0,3,1059860,
182,Bellossom,Flower Pokémon,,,0.4,5.8,Grass,,Chlorophyll,Boosts the Pokémon's Speed stat in harsh sunlight.,,,Healer,Sometimes heals an ally's status condition.,Gold,75,80,95,90,100,50,490,0,0,0,0,3,0,3,1059860,65.0
183,Marill,Aqua Mouse Pokémon,,,0.4,8.5,Water,Fairy,Thick Fat,"The Pokémon is protected by a layer of thick fat, which halves the damage taken from Fire- and Ice-type moves.",Huge Power,Doubles the Pokémon's Attack stat.,Sap Sipper,Boosts the Attack stat if hit by a Grass-type move instead of taking damage.,Gold,70,20,50,20,50,40,250,2,0,0,0,0,0,2,800000,426.0
184,Azumarill,Aqua Rabbit Pokémon,,,0.8,28.5,Water,Fairy,Thick Fat,"The Pokémon is protected by a layer of thick fat, which halves the damage taken from Fire- and Ice-type moves.",Huge Power,Doubles the Pokémon's Attack stat.,Sap Sipper,Boosts the Attack stat if hit by a Grass-type move instead of taking damage.,Gold,100,50,80,60,80,50,420,3,0,0,0,0,0,3,800000,283.0
185,Sudowoodo,Imitation Pokémon,,,1.2,38.0,Rock,,Sturdy,"It cannot be knocked out with one hit. One-hit KO moves cannot knock it out, either.",Rock Head,Protects the Pokémon from recoil damage.,Rattled,"Dark-, Ghost-, and Bug-type moves scare the Pokémon and boost its Speed stat.",Gold,70,110,115,30,65,30,420,0,0,2,0,0,0,2,1000000,636.0
186,Politoed,Frog Pokémon,,,1.1,33.9,Water,,Water Absorb,Restores HP if hit by a Water-type move instead of taking damage.,Damp,"Prevents the use of explosive moves, such as Self-Destruct, by dampening its surroundings.",Drizzle,The Pokémon makes it rain when it enters a battle.,Gold,90,75,75,90,100,70,500,0,0,0,0,3,0,3,1059860,982.0
187,Hoppip,Cottonweed Pokémon,,,0.4,0.5,Grass,Flying,Chlorophyll,Boosts the Pokémon's Speed stat in harsh sunlight.,Leaf Guard,Prevents status conditions in harsh sunlight.,Infiltrator,"Passes through the opposing Pokémon's barrier, substitute, and the like and strikes.",Gold,35,35,40,35,55,50,250,0,0,0,0,1,0,1,1059860,
188,Skiploom,Cottonweed Pokémon,,,0.6,1.0,Grass,Flying,Chlorophyll,Boosts the Pokémon's Speed stat in harsh sunlight.,Leaf Guard,Prevents status conditions in harsh sunlight.,Infiltrator,"Passes through the opposing Pokémon's barrier, substitute, and the like and strikes.",Gold,55,45,50,45,65,80,340,0,0,0,0,0,2,2,1059860,287.0
189,Jumpluff,Cottonweed Pokémon,,,0.8,3.0,Grass,Flying,Chlorophyll,Boosts the Pokémon's Speed stat in harsh sunlight.,Leaf Guard,Prevents status conditions in harsh sunlight.,Infiltrator,"Passes through the opposing Pokémon's barrier, substitute, and the like and strikes.",Gold,75,55,70,55,95,110,460,0,0,0,0,0,3,3,1059860,288.0
190,Aipom,Long Tail Pokémon,,,0.8,11.5,Normal,,Run Away,Enables a sure getaway from wild Pokémon.,Pickup,"The Pokémon may pick up the item an opposing Pokémon used during a battle. It may pick up items outside of battle, too.",Skill Link,Maximizes the number of times multistrike moves hit.,Gold,55,70,55,40,55,85,360,0,0,0,0,0,1,1,800000,
191,Sunkern,Seed Pokémon,,,0.3,1.8,Grass,,Chlorophyll,Boosts the Pokémon's Speed stat in harsh sunlight.,Solar Power,"Boosts the Sp. Atk stat in harsh sunlight, but HP decreases every turn.",Early Bird,The Pokémon awakens from sleep twice as fast as other Pokémon.,Gold,30,30,30,30,30,30,180,0,0,0,1,0,0,1,1059860,
192,Sunflora,Sun Pokémon,,,0.8,8.5,Grass,,Chlorophyll,Boosts the Pokémon's Speed stat in harsh sunlight.,Solar Power,"Boosts the Sp. Atk stat in harsh sunlight, but HP decreases every turn.",Early Bird,The Pokémon awakens from sleep twice as fast as other Pokémon.,Gold,75,75,55,105,85,30,425,0,0,0,2,0,0,2,1059860,291.0
193,Yanma,Clear Wing Pokémon,,,1.2,38.0,Bug,Flying,Speed Boost,Its Speed stat is boosted every turn.,Compound Eyes,The Pokémon's compound eyes boost its accuracy.,Frisk,"When it enters a battle, the Pokémon can check an opposing Pokémon's held item.",Gold,65,65,45,75,45,95,390,0,0,0,0,0,1,1,1000000,
194,Wooper,Water Fish Pokémon,,,0.4,8.5,Water,Ground,Damp,"Prevents the use of explosive moves, such as Self-Destruct, by dampening its surroundings.",Water Absorb,Restores HP if hit by a Water-type move instead of taking damage.,Unaware,"When attacking, the Pokémon ignores the target Pokémon's stat changes.",Gold,55,45,45,25,25,15,210,1,0,0,0,0,0,1,1000000,
194,Wooper,Poison Fish Pokémon,Paldea,,0.4,11.0,Poison,Ground,Poison Point,Contact with the Pokémon may poison the attacker.,Water Absorb,Restores HP if hit by a Water-type move instead of taking damage.,,,Scarlet,55,45,45,25,25,15,210,1,0,0,0,0,0,1,1000000,
195,Quagsire,Water Fish Pokémon,,,1.4,75.0,Water,Ground,Damp,"Prevents the use of explosive moves, such as Self-Destruct, by dampening its surroundings.",Water Absorb,Restores HP if hit by a Water-type move instead of taking damage.,Unaware,"When attacking, the Pokémon ignores the target Pokémon's stat changes.",Gold,95,85,85,65,65,35,430,2,0,0,0,0,0,2,1000000,294.0
196,Espeon,Sun Pokémon,,,0.9,26.5,Psychic,,Synchronize,"The attacker will receive the same status condition if it inflicts a burn, poison, or paralysis to the Pokémon.",,,Magic Bounce,Reflects status moves instead of getting hit by them.,Gold,65,65,60,130,95,110,525,0,0,0,2,0,0,2,1000000,228.0
197,Umbreon,Moonlight Pokémon,,,1.0,27.0,Dark,,Synchronize,"The attacker will receive the same status condition if it inflicts a burn, poison, or paralysis to the Pokémon.",,,Inner Focus,"The Pokémon's intensely focused, and that protects the Pokémon from flinching.",Gold,95,65,110,60,130,65,525,0,0,0,0,2,0,2,1000000,228.0
198,Murkrow,Darkness Pokémon,,,0.5,2.1,Dark,Flying,Insomnia,The Pokémon is suffering from insomnia and cannot fall asleep.,Super Luck,The Pokémon is so lucky that the critical-hit ratios of its moves are boosted.,Prankster,Gives priority to a status move.,Gold,60,85,42,85,42,91,405,0,0,0,0,0,1,1,1059860,
199,Slowking,Royal Pokémon,,,2.0,79.5,Water,Psychic,Oblivious,"The Pokémon is oblivious, and that keeps it from being infatuated or falling for taunts.",Own Tempo,"This Pokémon has its own tempo, and that prevents it from becoming confused.",Regenerator,Restores a little HP when withdrawn from battle.,Gold,95,75,80,100,110,30,490,0,0,0,0,3,0,3,1000000,1319.0
199,Slowking,Royal Pokémon,Galar,,1.8,79.5,Poison,Psychic,Curious Medicine,"When the Pokémon is brought into battle, any stat alterations of allies are removed.",Own Tempo,"This Pokémon has its own tempo, and that prevents it from becoming confused.",Regenerator,Restores a little HP when withdrawn from battle.,Sword,95,65,80,110,110,30,490,0,0,0,0,2,0,2,1000000,1366.0
200,Misdreavus,Screech Pokémon,,,0.7,1.0,Ghost,,Levitate,"By floating in the air, the Pokémon receives full immunity to all Ground-type moves.",,,,,Gold,60,60,60,85,85,85,435,0,0,0,0,1,0,1,800000,
201,Unown,Symbol Pokémon,,,0.5,5.0,Psychic,,Levitate,"By floating in the air, the Pokémon receives full immunity to all Ground-type moves.",,,,,Gold,48,72,48,72,48,48,336,0,1,0,1,0,0,2,1000000,
201,Unown,Symbol Pokémon,A,,0.5,5.0,Psychic,,Levitate,"By floating in the air, the Pokémon receives full immunity to all Ground-type moves.",,,,,Gold,48,72,48,72,48,48,336,0,1,0,1,0,0,2,1000000,
201,Unown,Symbol Pokémon,B,,0.5,5.0,Psychic,,Levitate,"By floating in the air, the Pokémon receives full immunity to all Ground-type moves.",,,,,Gold,48,72,48,72,48,48,336,0,1,0,1,0,0,2,1000000,
201,Unown,Symbol Pokémon,C,,0.5,5.0,Psychic,,Levitate,"By floating in the air, the Pokémon receives full immunity to all Ground-type moves.",,,,,Gold,48,72,48,72,48,48,336,0,1,0,1,0,0,2,1000000,
201,Unown,Symbol Pokémon,D,,0.5,5.0,Psychic,,Levitate,"By floating in the air, the Pokémon receives full immunity to all Ground-type moves.",,,,,Gold,48,72,48,72,48,48,336,0,1,0,1,0,0,2,1000000,
201,Unown,Symbol Pokémon,E,,0.5,5.0,Psychic,,Levitate,"By floating in the air, the Pokémon receives full immunity to all Ground-type moves.",,,,,Gold,48,72,48,72,48,48,336,0,1,0,1,0,0,2,1000000,
201,Unown,Symbol Pokémon,G,,0.5,5.0,Psychic,,Levitate,"By floating in the air, the Pokémon receives full immunity to all Ground-type moves.",,,,,Gold,48,72,48,72,48,48,336,0,1,0,1,0,0,2,1000000,
201,Unown,Symbol Pokémon,H,,0.5,5.0,Psychic,,Levitate,"By floating in the air, the Pokémon receives full immunity to all Ground-type moves.",,,,,Gold,48,72,48,72,48,48,336,0,1,0,1,0,0,2,1000000,
201,Unown,Symbol Pokémon,I,,0.5,5.0,Psychic,,Levitate,"By floating in the air, the Pokémon receives full immunity to all Ground-type moves.",,,,,Gold,48,72,48,72,48,48,336,0,1,0,1,0,0,2,1000000,
201,Unown,Symbol Pokémon,J,,0.5,5.0,Psychic,,Levitate,"By floating in the air, the Pokémon receives full immunity to all Ground-type moves.",,,,,Gold,48,72,48,72,48,48,336,0,1,0,1,0,0,2,1000000,
201,Unown,Symbol Pokémon,K,,0.5,5.0,Psychic,,Levitate,"By floating in the air, the Pokémon receives full immunity to all Ground-type moves.",,,,,Gold,48,72,48,72,48,48,336,0,1,0,1,0,0,2,1000000,
201,Unown,Symbol Pokémon,L,,0.5,5.0,Psychic,,Levitate,"By floating in the air, the Pokémon receives full immunity to all Ground-type moves.",,,,,Gold,48,72,48,72,48,48,336,0,1,0,1,0,0,2,1000000,
201,Unown,Symbol Pokémon,M,,0.5,5.0,Psychic,,Levitate,"By floating in the air, the Pokémon receives full immunity to all Ground-type moves.",,,,,Gold,48,72,48,72,48,48,336,0,1,0,1,0,0,2,1000000,
201,Unown,Symbol Pokémon,N,,0.5,5.0,Psychic,,Levitate,"By floating in the air, the Pokémon receives full immunity to all Ground-type moves.",,,,,Gold,48,72,48,72,48,48,336,0,1,0,1,0,0,2,1000000,
201,Unown,Symbol Pokémon,O,,0.5,5.0,Psychic,,Levitate,"By floating in the air, the Pokémon receives full immunity to all Ground-type moves.",,,,,Gold,48,72,48,72,48,48,336,0,1,0,1,0,0,2,1000000,
201,Unown,Symbol Pokémon,P,,0.5,5.0,Psychic,,Levitate,"By floating in the air, the Pokémon receives full immunity to all Ground-type moves.",,,,,Gold,48,72,48,72,48,48,336,0,1,0,1,0,0,2,1000000,
201,Unown,Symbol Pokémon,Q,,0.5,5.0,Psychic,,Levitate,"By floating in the air, the Pokémon receives full immunity to all Ground-type moves.",,,,,Gold,48,72,48,72,48,48,336,0,1,0,1,0,0,2,1000000,
201,Unown,Symbol Pokémon,R,,0.5,5.0,Psychic,,Levitate,"By floating in the air, the Pokémon receives full immunity to all Ground-type moves.",,,,,Gold,48,72,48,72,48,48,336,0,1,0,1,0,0,2,1000000,
201,Unown,Symbol Pokémon,S,,0.5,5.0,Psychic,,Levitate,"By floating in the air, the Pokémon receives full immunity to all Ground-type moves.",,,,,Gold,48,72,48,72,48,48,336,0,1,0,1,0,0,2,1000000,
201,Unown,Symbol Pokémon,T,,0.5,5.0,Psychic,,Levitate,"By floating in the air, the Pokémon receives full immunity to all Ground-type moves.",,,,,Gold,48,72,48,72,48,48,336,0,1,0,1,0,0,2,1000000,
201,Unown,Symbol Pokémon,U,,0.5,5.0,Psychic,,Levitate,"By floating in the air, the Pokémon receives full immunity to all Ground-type moves.",,,,,Gold,48,72,48,72,48,48,336,0,1,0,1,0,0,2,1000000,
201,Unown,Symbol Pokémon,V,,0.5,5.0,Psychic,,Levitate,"By floating in the air, the Pokémon receives full immunity to all Ground-type moves.",,,,,Gold,48,72,48,72,48,48,336,0,1,0,1,0,0,2,1000000,
201,Unown,Symbol Pokémon,W,,0.5,5.0,Psychic,,Levitate,"By floating in the air, the Pokémon receives full immunity to all Ground-type moves.",,,,,Gold,48,72,48,72,48,48,336,0,1,0,1,0,0,2,1000000,
201,Unown,Symbol Pokémon,X,,0.5,5.0,Psychic,,Levitate,"By floating in the air, the Pokémon receives full immunity to all Ground-type moves.",,,,,Gold,48,72,48,72,48,48,336,0,1,0,1,0,0,2,1000000,
201,Unown,Symbol Pokémon,Y,,0.5,5.0,Psychic,,Levitate,"By floating in the air, the Pokémon receives full immunity to all Ground-type moves.",,,,,Gold,48,72,48,72,48,48,336,0,1,0,1,0,0,2,1000000,
201,Unown,Symbol Pokémon,Z,,0.5,5.0,Psychic,,Levitate,"By floating in the air, the Pokémon receives full immunity to all Ground-type moves.",,,,,Gold,48,72,48,72,48,48,336,0,1,0,1,0,0,2,1000000,
201,Unown,Symbol Pokémon,!,,0.5,5.0,Psychic,,Levitate,"By floating in the air, the Pokémon receives full immunity to all Ground-type moves.",,,,,Ruby,48,72,48,72,48,48,336,0,1,0,1,0,0,2,1000000,
201,Unown,Symbol Pokémon,?,,0.5,5.0,Psychic,,Levitate,"By floating in the air, the Pokémon receives full immunity to all Ground-type moves.",,,,,Ruby,48,72,48,72,48,48,336,0,1,0,1,0,0,2,1000000,
202,Wobbuffet,Patient Pokémon,,,1.3,28.5,Psychic,,Shadow Tag,This Pokémon steps on the opposing Pokémon's shadow to prevent it from escaping.,,,Telepathy,Anticipates an ally's attack and dodges it.,Gold,190,33,58,33,58,33,405,2,0,0,0,0,0,2,1000000,488.0
203,Girafarig,Long Neck Pokémon,,,1.5,41.5,Normal,Psychic,Inner Focus,"The Pokémon's intensely focused, and that protects the Pokémon from flinching.",Early Bird,The Pokémon awakens from sleep twice as fast as other Pokémon.,Sap Sipper,Boosts the Attack stat if hit by a Grass-type move instead of taking damage.,Gold,70,80,65,90,65,85,455,0,0,0,2,0,0,2,1000000,
204,Pineco,Bagworm Pokémon,,,0.6,7.2,Bug,,Sturdy,"It cannot be knocked out with one hit. One-hit KO moves cannot knock it out, either.",,,Overcoat,"Protects the Pokémon from things like sand, hail, and powder.",Gold,50,65,90,35,35,15,290,0,0,1,0,0,0,1,1000000,
205,Forretress,Bagworm Pokémon,,,1.2,125.8,Bug,Steel,Sturdy,"It cannot be knocked out with one hit. One-hit KO moves cannot knock it out, either.",,,Overcoat,"Protects the Pokémon from things like sand, hail, and powder.",Gold,75,90,140,60,60,40,465,0,0,2,0,0,0,2,1000000,328.0
206,Dunsparce,Land Snake Pokémon,,,1.5,14.0,Normal,,Serene Grace,Boosts the likelihood of additional effects occurring when attacking.,Run Away,Enables a sure getaway from wild Pokémon.,Rattled,"Dark-, Ghost-, and Bug-type moves scare the Pokémon and boost its Speed stat.",Gold,100,70,70,65,65,45,415,1,0,0,0,0,0,1,1000000,
207,Gligar,Fly Scorpion Pokémon,,,1.1,64.8,Ground,Flying,Hyper Cutter,The Pokémon's proud of its powerful pincers. They prevent other Pokémon from lowering its Attack stat.,Sand Veil,Boosts the Pokémon's evasiveness in a sandstorm.,Immunity,The immune system of the Pokémon prevents it from getting poisoned.,Gold,65,75,105,35,65,85,430,0,0,1,0,0,0,1,1059860,
208,Steelix,Iron Snake Pokémon,,,9.2,400.0,Steel,Ground,Rock Head,Protects the Pokémon from recoil damage.,Sturdy,"It cannot be knocked out with one hit. One-hit KO moves cannot knock it out, either.",Sheer Force,Removes additional effects to increase the power of moves when attacking.,Gold,75,85,200,55,65,30,510,0,0,2,0,0,0,2,1000000,1354.0
208,Steelix,Iron Snake Pokémon,Mega,,10.5,740.0,Steel,Ground,Sand Force,"Boosts the power of Rock-, Ground-, and Steel-type moves in a sandstorm.",,,,,Omega Ruby,75,125,230,55,95,30,610,0,0,2,0,0,0,2,1000000,
209,Snubbull,Fairy Pokémon,,,0.6,7.8,Fairy,,Intimidate,"The Pokémon intimidates opposing Pokémon upon entering battle, lowering their Attack stat.",Run Away,Enables a sure getaway from wild Pokémon.,Rattled,"Dark-, Ghost-, and Bug-type moves scare the Pokémon and boost its Speed stat.",Gold,60,80,50,40,40,30,300,0,1,0,0,0,0,1,800000,
210,Granbull,Fairy Pokémon,,,1.4,48.7,Fairy,,Intimidate,"The Pokémon intimidates opposing Pokémon upon entering battle, lowering their Attack stat.",Quick Feet,Boosts the Speed stat if the Pokémon has a status condition.,Rattled,"Dark-, Ghost-, and Bug-type moves scare the Pokémon and boost its Speed stat.",Gold,90,120,75,60,60,45,450,0,2,0,0,0,0,2,800000,333.0
211,Qwilfish,Balloon Pokémon,,,0.5,3.9,Water,Poison,Poison Point,Contact with the Pokémon may poison the attacker.,Swift Swim,Boosts the Pokémon's Speed stat in rain.,Intimidate,"The Pokémon intimidates opposing Pokémon upon entering battle, lowering their Attack stat.",Gold,65,95,85,55,55,85,440,0,1,0,0,0,0,1,1000000,
211,Qwilfish,Balloon Pokémon,Hisui,,0.5,3.9,Dark,Poison,Poison Point,Contact with the Pokémon may poison the attacker.,Swift Swim,Boosts the Pokémon's Speed stat in rain.,Intimidate,"The Pokémon intimidates opposing Pokémon upon entering battle, lowering their Attack stat.",Legends Arceus,65,95,85,55,55,85,440,0,1,0,0,0,0,1,1000000,
212,Scizor,Pincer Pokémon,,,1.8,118.0,Bug,Steel,Swarm,Powers up Bug-type moves when the Pokémon's HP is low.,Technician,Powers up the Pokémon's weaker moves.,Light Metal,Halves the Pokémon's weight.,Gold,70,130,100,55,80,65,500,0,2,0,0,0,0,2,1000000,219.0
212,Scizor,Pincer Pokémon,Mega,,2.0,125.0,Bug,Steel,Technician,Powers up the Pokémon's weaker moves.,,,,,X,70,150,140,65,100,75,600,0,2,0,0,0,0,2,1000000,
